GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Anthracina ramosa,CGMCC 3.16372,Anthracina_ramosa_CGMCC_3.16372.proteins.fa,Anthracina_ramosa_CGMCC_3.16372.scaffolds.fa,Anthramo,Chaetothyriales
IN,Capronia coronata,CBS 617.96,Capronia_coronata_CBS_617.96.proteins.fa,Capronia_coronata_CBS_617.96.scaffolds.fa,Caprcoro,Chaetothyriales
IN,Chaetothyriales sp. CBS 134916,CBS 134916,Chaetothyriales_sp._CBS_134916_CBS_134916.proteins.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.scaffolds.fa,Chaesp3,Chaetothyriales
IN,Cladophialophora bantiana,BMU 10859,Cladophialophora_bantiana_BMU_10859.proteins.fa,Cladophialophora_bantiana_BMU_10859.scaffolds.fa,Cladbant,Chaetothyriales
IN,Cladophialophora endolichena,BF3,Cladophialophora_endolichena_BF3.proteins.fa,Cladophialophora_endolichena_BF3.scaffolds.fa,Cladendo,Chaetothyriales
IN,Cladophialophora minutissima,CBS 121758,Cladophialophora_minutissima_CBS_121758.proteins.fa,Cladophialophora_minutissima_CBS_121758.scaffolds.fa,Cladminu,Chaetothyriales
IN,Cyphellophora europaea,CBS 101466,Cyphellophora_europaea_CBS_101466.proteins.fa,Cyphellophora_europaea_CBS_101466.scaffolds.fa,Cypheur2,Chaetothyriales
IN,Epibryon turfosorum,CBS 126587,Epibryon_turfosorum_CBS_126587.proteins.fa,Epibryon_turfosorum_CBS_126587.scaffolds.fa,Epibturf,Chaetothyriales
IN,Exophiala calicioides,JCM 6030,Exophiala_calicioides_JCM_6030.proteins.fa,Exophiala_calicioides_JCM_6030.scaffolds.fa,Exopcali,Chaetothyriales
IN,Exophiala mesophila,CCFEE 6314,Exophiala_mesophila_CCFEE_6314.proteins.fa,Exophiala_mesophila_CCFEE_6314.scaffolds.fa,Exopmes3,Chaetothyriales
IN,Exophiala phaeomuriformis,CBS 132758,Exophiala_phaeomuriformis_CBS_132758.proteins.fa,Exophiala_phaeomuriformis_CBS_132758.scaffolds.fa,Exopphae,Chaetothyriales
IN,Exophiala spinifera,JCM 15939,Exophiala_spinifera_JCM_15939.proteins.fa,Exophiala_spinifera_JCM_15939.scaffolds.fa,Exopsp11,Chaetothyriales
IN,Exophiala sp. CCFEE 6388,CCFEE 6388,Exophiala_sp._CCFEE_6388_CCFEE_6388.proteins.fa,Exophiala_sp._CCFEE_6388_CCFEE_6388.scaffolds.fa,Exopsp5,Chaetothyriales
IN,Exophiala viscosa,JF 03-4F,Exophiala_viscosa_JF_03-4F.proteins.fa,Exophiala_viscosa_JF_03-4F.scaffolds.fa,Exopvis2,Chaetothyriales
IN,Fonsecaea erecta,CBS 125763,Fonsecaea_erecta_CBS_125763.proteins.fa,Fonsecaea_erecta_CBS_125763.scaffolds.fa,Fonserec,Chaetothyriales
IN,Fonsecaea nubica,CBS 269.64,Fonsecaea_nubica_CBS_269.64.proteins.fa,Fonsecaea_nubica_CBS_269.64.scaffolds.fa,Fonsnubi,Chaetothyriales
IN,Herpotrichiellaceae sp.,CTeuk-1624,Herpotrichiellaceae_sp._CTeuk-1624.proteins.fa,Herpotrichiellaceae_sp._CTeuk-1624.scaffolds.fa,Herpsp,Chaetothyriales
IN,Knufia fluminis,FJI-L2-BK-P2,Knufia_fluminis_FJI-L2-BK-P2.proteins.fa,Knufia_fluminis_FJI-L2-BK-P2.scaffolds.fa,Knufflum,Chaetothyriales
IN,Neophaeococcomyces aloes,FJII-L3-CM-P2,Neophaeococcomyces_aloes_FJII-L3-CM-P2.proteins.fa,Neophaeococcomyces_aloes_FJII-L3-CM-P2.scaffolds.fa,Neopaloe,Chaetothyriales
