GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Antarctolithica obscura,MARS-82_9,Antarctolithica_obscura_FM_MARS-82_9.pep.fa,Antarctolithica_obscura_FM_MARS-82_9.scaffolds.fa,AOBS82_9,Antarctolithicomycotina
IN,Antarctolithica obscura,MARS-17_30,Antarctolithica_obscura_FM_MARS-17_30.pep.fa,Antarctolithica_obscura_FM_MARS-17_30.scaffolds.fa,AOBS17_30,Antarctolithicomycotina
OUT,Neolecta irregularis,DAH-3,Neolecta_irregularis_DAH-3.proteins.fa,Neolecta_irregularis_DAH-3.scaffolds.fa,Nirr,Taphrinomycotina
OUT,Schizosaccharomyces pombe,972h,Schizosaccharomyces_pombe_972h.pep.fa,Schizosaccharomyces_pombe_972h-.scaffolds.fa,Spom,Taphrinomycotina
OUT,Saccharomyces cerevisiae,S288c,Saccharomyces_cerevisiae_S288C.pep.fa,Saccharomyces_cerevisiae_S288c.scaffolds.fa,Scer,Saccharomycotina
OUT,Neurospora crassa,OR74A,Neurospora_crassa_OR74A.pep.fa,Neurospora_crassa_OR74A.scaffolds.fa,Ncra,Pezizomycotina
OUT,Aspergillus fumigatus,Af293,Aspergillus_fumigatus_Af293.pep.fa,Aspergillus_fumigatus_Af293.dna.fa,Afum,Pezizomycotina
OUT,Zymoseptoria tritici,,Zymoseptoria_tritici.proteins.fa,Zymoseptoria_tritici.scaffolds.fa,Ztri,Pezizomycotina
OUT,Coccidioides immitis,WA_211,Coccidioides_immitis_WA_211.proteins.fa,Coccidioides_immitis_WA_211.scaffolds.fa,Cimm,Pezizomycotina
