GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Cladophialophora carrionii,KSF,Cladophialophora_carrionii_KSF.proteins.fa,Cladophialophora_carrionii_KSF.scaffolds.fa,Cladcar2,Chaetothyriales
IN,Cladophialophora carrionii,CBS 160.54,Cladophialophora_carrionii_CBS_160.54.proteins.fa,Cladophialophora_carrionii_CBS_160.54.scaffolds.fa,Cladcarr,Chaetothyriales
IN,Cladophialophora chaetospira,TK_41,Cladophialophora_chaetospira_TK_41.proteins.fa,Cladophialophora_chaetospira_TK_41.scaffolds.fa,Cladchae,Chaetothyriales
IN,Cladophialophora endolichena,BF3,Cladophialophora_endolichena_BF3.proteins.fa,Cladophialophora_endolichena_BF3.scaffolds.fa,Cladendo,Chaetothyriales
IN,Cladophialophora exuberans,CMRP1227,Cladophialophora_exuberans_CMRP1227.proteins.fa,Cladophialophora_exuberans_CMRP1227.scaffolds.fa,Cladexub,Chaetothyriales
IN,Cladophialophora humicola,CBS 117536,Cladophialophora_humicola_CBS_117536.proteins.fa,Cladophialophora_humicola_CBS_117536.scaffolds.fa,Cladhumi,Chaetothyriales
IN,Cladophialophora immunda,CBS 83496,Cladophialophora_immunda_CBS_83496.proteins.fa,Cladophialophora_immunda_CBS_83496.scaffolds.fa,Cladimmu,Chaetothyriales
IN,Cladophialophora minutissima,CBS 121758,Cladophialophora_minutissima_CBS_121758.proteins.fa,Cladophialophora_minutissima_CBS_121758.scaffolds.fa,Cladminu,Chaetothyriales
IN,Cladophialophora psammophila,CBS 110553,Cladophialophora_psammophila_CBS_110553.proteins.fa,Cladophialophora_psammophila_CBS_110553.scaffolds.fa,Cladpsam,Chaetothyriales
IN,Cladophialophora sylvestris,CBS 350.83,Cladophialophora_sylvestris_CBS_350.83.proteins.fa,Cladophialophora_sylvestris_CBS_350.83.scaffolds.fa,Cladsylv,Chaetothyriales
IN,Cladophialophora yegresii,CBS 114405,Cladophialophora_yegresii_CBS_114405.proteins.fa,Cladophialophora_yegresii_CBS_114405.scaffolds.fa,Cladyegr,Chaetothyriales
IN,Cyphellophora europaea,CBS 101466,Cyphellophora_europaea_CBS_101466.proteins.fa,Cyphellophora_europaea_CBS_101466.scaffolds.fa,Cypheur2,Chaetothyriales
IN,Cyphellophora europaea,C02,Cyphellophora_europaea_C02.proteins.fa,Cyphellophora_europaea_C02.scaffolds.fa,Cypheuro,Chaetothyriales
IN,Epibryon bryophilum,CBS 126278,Epibryon_bryophilum_CBS_126278.proteins.fa,Epibryon_bryophilum_CBS_126278.scaffolds.fa,Epibbryo,Chaetothyriales
IN,Epibryon interlamellare,CBS 126286,Epibryon_interlamellare_CBS_126286.proteins.fa,Epibryon_interlamellare_CBS_126286.scaffolds.fa,Epibinte,Chaetothyriales
IN,Epibryon turfosorum,CBS 126587,Epibryon_turfosorum_CBS_126587.proteins.fa,Epibryon_turfosorum_CBS_126587.scaffolds.fa,Epibturf,Chaetothyriales
IN,Exophiala alcalophila,JCM 1751,Exophiala_alcalophila_JCM_1751.proteins.fa,Exophiala_alcalophila_JCM_1751.scaffolds.fa,Exopalca,Chaetothyriales
IN,Exophiala aquamarina,CBS 119918,Exophiala_aquamarina_CBS_119918.proteins.fa,Exophiala_aquamarina_CBS_119918.scaffolds.fa,Exopaqua,Chaetothyriales
IN,Exophiala bonariae,CCFEE 5792,Exophiala_bonariae_CCFEE_5792.proteins.fa,Exophiala_bonariae_CCFEE_5792.scaffolds.fa,Exopbona,Chaetothyriales
IN,Exophiala calicioides,JCM 6030,Exophiala_calicioides_JCM_6030.proteins.fa,Exophiala_calicioides_JCM_6030.scaffolds.fa,Exopcali,Chaetothyriales
IN,Exophiala dermatitidis,Ex19,Exophiala_dermatitidis_Ex19.proteins.fa,Exophiala_dermatitidis_Ex19.scaffolds.fa,Exopde17,Chaetothyriales
IN,Exophiala dermatitidis,CBS 115663,Exophiala_dermatitidis_CBS_115663.proteins.fa,Exophiala_dermatitidis_CBS_115663.scaffolds.fa,Exopder2,Chaetothyriales
IN,Exophiala lecanii-corni,CBS 102400,Exophiala_lecanii-corni_CBS_102400.proteins.fa,Exophiala_lecanii-corni_CBS_102400.scaffolds.fa,Exopleca,Chaetothyriales
IN,Exophiala mesophila,CCFEE 6314,Exophiala_mesophila_CCFEE_6314.proteins.fa,Exophiala_mesophila_CCFEE_6314.scaffolds.fa,Exopmes3,Chaetothyriales
IN,Exophiala mesophila,CBS 120910,Exophiala_mesophila_CBS_120910.proteins.fa,Exophiala_mesophila_CBS_120910.scaffolds.fa,Exopmeso,Chaetothyriales
IN,Exophiala oligosperma,CBS 72588,Exophiala_oligosperma_CBS_72588.proteins.fa,Exophiala_oligosperma_CBS_72588.scaffolds.fa,Exopoli2,Chaetothyriales
IN,Exophiala oligosperma,CCFEE 6327,Exophiala_oligosperma_CCFEE_6327.proteins.fa,Exophiala_oligosperma_CCFEE_6327.scaffolds.fa,Exopoli3,Chaetothyriales
IN,Exophiala phaeomuriformis,CBS 132758,Exophiala_phaeomuriformis_CBS_132758.proteins.fa,Exophiala_phaeomuriformis_CBS_132758.scaffolds.fa,Exopphae,Chaetothyriales
IN,Exophiala sideris,CCFEE 5748,Exophiala_sideris_CCFEE_5748.proteins.fa,Exophiala_sideris_CCFEE_5748.scaffolds.fa,Exopsid2,Chaetothyriales
IN,Exophiala sideris,CCFEE 6328,Exophiala_sideris_CCFEE_6328.proteins.fa,Exophiala_sideris_CCFEE_6328.scaffolds.fa,Exopsid4,Chaetothyriales
IN,Exophiala sp.,S2_009_000R2a,Exophiala_sp._S2_009_000R2a.proteins.fa,Exophiala_sp._S2_009_000R2a.scaffolds.fa,Exopsp,Chaetothyriales
IN,Exophiala spinifera,JCM 15939,Exophiala_spinifera_JCM_15939.proteins.fa,Exophiala_spinifera_JCM_15939.scaffolds.fa,Exopsp11,Chaetothyriales
IN,Exophiala sp. BF2,BF2,Exophiala_sp._BF2_BF2.proteins.fa,Exophiala_sp._BF2_BF2.scaffolds.fa,Exopsp2,Chaetothyriales
IN,Exophiala sp. BO6,BO6,Exophiala_sp._BO6_BO6.proteins.fa,Exophiala_sp._BO6_BO6.scaffolds.fa,Exopsp3,Chaetothyriales
IN,Exophiala sp. CCFEE 6169,CCFEE 6169,Exophiala_sp._CCFEE_6169_CCFEE_6169.proteins.fa,Exophiala_sp._CCFEE_6169_CCFEE_6169.scaffolds.fa,Exopsp4,Chaetothyriales
IN,Exophiala sp. CCFEE 6388,CCFEE 6388,Exophiala_sp._CCFEE_6388_CCFEE_6388.proteins.fa,Exophiala_sp._CCFEE_6388_CCFEE_6388.scaffolds.fa,Exopsp5,Chaetothyriales
IN,Exophiala sp. HKRS030,HKRS030,Exophiala_sp._HKRS030_HKRS030.proteins.fa,Exophiala_sp._HKRS030_HKRS030.scaffolds.fa,Exopsp6,Chaetothyriales
IN,Exophiala sp. LBMH1013,LBMH1013,Exophiala_sp._LBMH1013_LBMH1013.proteins.fa,Exophiala_sp._LBMH1013_LBMH1013.scaffolds.fa,Exopsp7,Chaetothyriales
IN,Exophiala spinifera,CBS 116557,Exophiala_spinifera_CBS_116557.proteins.fa,Exophiala_spinifera_CBS_116557.scaffolds.fa,Exopspi5,Chaetothyriales
IN,Exophiala viscosa,JF 03-4F,Exophiala_viscosa_JF_03-4F.proteins.fa,Exophiala_viscosa_JF_03-4F.scaffolds.fa,Exopvis2,Chaetothyriales
IN,Exophiala viscosa,JF 03-3F,Exophiala_viscosa_JF_03-3F.proteins.fa,Exophiala_viscosa_JF_03-3F.scaffolds.fa,Exopvisc,Chaetothyriales
IN,Exophiala xenobiotica,CCFEE 5874,Exophiala_xenobiotica_CCFEE_5874.proteins.fa,Exophiala_xenobiotica_CCFEE_5874.scaffolds.fa,Exopxe10,Chaetothyriales
IN,Exophiala xenobiotica,CCFEE 5985,Exophiala_xenobiotica_CCFEE_5985.proteins.fa,Exophiala_xenobiotica_CCFEE_5985.scaffolds.fa,Exopxe13,Chaetothyriales
IN,Fonsecaea erecta,CBS 125763,Fonsecaea_erecta_CBS_125763.proteins.fa,Fonsecaea_erecta_CBS_125763.scaffolds.fa,Fonserec,Chaetothyriales
IN,Fonsecaea monophora,CBS 269.37,Fonsecaea_monophora_CBS_269.37.proteins.fa,Fonsecaea_monophora_CBS_269.37.scaffolds.fa,Fonsmono,Chaetothyriales
IN,Fonsecaea multimorphosa,CBS 980.96,Fonsecaea_multimorphosa_CBS_980.96.proteins.fa,Fonsecaea_multimorphosa_CBS_980.96.scaffolds.fa,Fonsmul2,Chaetothyriales
IN,Fonsecaea multimorphosa,CBS 102226,Fonsecaea_multimorphosa_CBS_102226.proteins.fa,Fonsecaea_multimorphosa_CBS_102226.scaffolds.fa,Fonsmult,Chaetothyriales
IN,Fonsecaea nubica,CBS 269.64,Fonsecaea_nubica_CBS_269.64.proteins.fa,Fonsecaea_nubica_CBS_269.64.scaffolds.fa,Fonsnubi,Chaetothyriales
IN,Fonsecaea pedrosoi,CBS 271.37,Fonsecaea_pedrosoi_CBS_271.37.proteins.fa,Fonsecaea_pedrosoi_CBS_271.37.scaffolds.fa,Fonsped2,Chaetothyriales
IN,Fonsecaea pedrosoi,ATCC 46428,Fonsecaea_pedrosoi_ATCC_46428.proteins.fa,Fonsecaea_pedrosoi_ATCC_46428.scaffolds.fa,Fonspedr,Chaetothyriales
IN,Fonsecaea pugnacius,CBS 139214,Fonsecaea_pugnacius_CBS_139214.proteins.fa,Fonsecaea_pugnacius_CBS_139214.scaffolds.fa,Fonspugn,Chaetothyriales
IN,Herpotrichiellaceae sp.,CTeuk-1624,Herpotrichiellaceae_sp._CTeuk-1624.proteins.fa,Herpotrichiellaceae_sp._CTeuk-1624.scaffolds.fa,Herpsp,Chaetothyriales
IN,Herpotrichiellaceae sp. UM238,UM238,Herpotrichiellaceae_sp._UM238_UM238.proteins.fa,Herpotrichiellaceae_sp._UM238_UM238.scaffolds.fa,Herpsp2,Chaetothyriales
IN,Incumbomyces delicatus,CBS 129047,Incumbomyces_delicatus_CBS_129047.proteins.fa,Incumbomyces_delicatus_CBS_129047.scaffolds.fa,Incudeli,Chaetothyriales
IN,Incumbomyces lentus,CBS 128958,Incumbomyces_lentus_CBS_128958.proteins.fa,Incumbomyces_lentus_CBS_128958.scaffolds.fa,Inculent,Chaetothyriales
IN,Knufia fluminis,FJI-L2-BK-P2,Knufia_fluminis_FJI-L2-BK-P2.proteins.fa,Knufia_fluminis_FJI-L2-BK-P2.scaffolds.fa,Knufflum,Chaetothyriales
IN,Knufia obscura,CCFEE 5817,Knufia_obscura_CCFEE_5817.proteins.fa,Knufia_obscura_CCFEE_5817.scaffolds.fa,Knufobsc,Chaetothyriales
IN,Lithohypha guttulata,CCFEE 5928,Lithohypha_guttulata_CCFEE_5928.proteins.fa,Lithohypha_guttulata_CCFEE_5928.scaffolds.fa,Lithgut2,Chaetothyriales
IN,Lithohypha guttulata,CCFEE 5908,Lithohypha_guttulata_CCFEE_5908.proteins.fa,Lithohypha_guttulata_CCFEE_5908.scaffolds.fa,Lithgutt,Chaetothyriales
IN,Neophaeococcomyces aloes,FJII-L3-CM-P2,Neophaeococcomyces_aloes_FJII-L3-CM-P2.proteins.fa,Neophaeococcomyces_aloes_FJII-L3-CM-P2.scaffolds.fa,Neopaloe,Chaetothyriales
IN,Phialophora chinensis,BMU 07630,Phialophora_chinensis_BMU_07630.proteins.fa,Phialophora_chinensis_BMU_07630.scaffolds.fa,Phiachin,Chaetothyriales
IN,Phialophora tarda,CBS 111589,Phialophora_tarda_CBS_111589.proteins.fa,Phialophora_tarda_CBS_111589.scaffolds.fa,Phiatard,Chaetothyriales
IN,Phialophora verrucosa,BMU07605,Phialophora_verrucosa_BMU07605.proteins.fa,Phialophora_verrucosa_BMU07605.scaffolds.fa,Phiaverr,Chaetothyriales
IN,Rhinocladiella mackenziei,IHM 22877,Rhinocladiella_mackenziei_IHM_22877.proteins.fa,Rhinocladiella_mackenziei_IHM_22877.scaffolds.fa,Rhinmac2,Chaetothyriales
IN,Rhinocladiella mackenziei,CBS 650.93,Rhinocladiella_mackenziei_CBS_650.93.proteins.fa,Rhinocladiella_mackenziei_CBS_650.93.scaffolds.fa,Rhinmack,Chaetothyriales
OUT,Amauroascus verrucosus,UAMH 3576,Amauroascus_verrucosus_UAMH_3576.proteins.fa,Amauroascus_verrucosus_UAMH_3576.scaffolds.fa,Amauverr,Onygenales
OUT,Aphanoascus verrucosus,IHEM 4434,Aphanoascus_verrucosus_IHEM_4434.proteins.fa,Aphanoascus_verrucosus_IHEM_4434.scaffolds.fa,Aphaverr,Onygenales
OUT,Arachnomyces sp. KDTOL00113,,Arachnomyces_sp._KDTOL00113.proteins.fa,Arachnomyces_sp._KDTOL00113.scaffolds.fa,Aracsp,Onygenales
OUT,Arachnomyces sp. PD_36,PD_36,Arachnomyces_sp._PD_36_PD_36.proteins.fa,Arachnomyces_sp._PD_36_PD_36.scaffolds.fa,Aracsp2,Onygenales
OUT,Arthroderma sp. MBC 290,MBC 290,Arthroderma_sp._MBC_290_MBC_290.proteins.fa,Arthroderma_sp._MBC_290_MBC_290.scaffolds.fa,Arthsp,Onygenales
OUT,Arthroderma sp. MBC 293,MBC 293,Arthroderma_sp._MBC_293_MBC_293.proteins.fa,Arthroderma_sp._MBC_293_MBC_293.scaffolds.fa,Arthsp2,Onygenales
OUT,Arthroderma sp. MBC 929,MBC 929,Arthroderma_sp._MBC_929_MBC_929.proteins.fa,Arthroderma_sp._MBC_929_MBC_929.scaffolds.fa,Arthsp3,Onygenales
OUT,Arthroderma sp. MBC 961,MBC 961,Arthroderma_sp._MBC_961_MBC_961.proteins.fa,Arthroderma_sp._MBC_961_MBC_961.scaffolds.fa,Arthsp4,Onygenales
OUT,Arthroderma sp. PD_2,PD_2,Arthroderma_sp._PD_2_PD_2.proteins.fa,Arthroderma_sp._PD_2_PD_2.scaffolds.fa,Arthsp5,Onygenales
OUT,Arthroderma uncinatum,T10,Arthroderma_uncinatum_T10.proteins.fa,Arthroderma_uncinatum_T10.scaffolds.fa,Arthunc2,Onygenales
OUT,Arthroderma uncinatum,CBS 119779,Arthroderma_uncinatum_CBS_119779.proteins.fa,Arthroderma_uncinatum_CBS_119779.scaffolds.fa,Arthunci,Onygenales
OUT,Ascosphaera acerosa,ATCC 201316,Ascosphaera_acerosa_ATCC_201316.proteins.fa,Ascosphaera_acerosa_ATCC_201316.scaffolds.fa,Ascoacer,Onygenales
OUT,Ascosphaera aggregata,USDA-ARS PIBMSR Wild2,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.proteins.fa,Ascosphaera_aggregata_USDA-ARS_PIBMSR_Wild2.scaffolds.fa,Ascoaggr,Onygenales
OUT,Ascosphaera apis,USDA-ARSEF 7405,Ascosphaera_apis_USDA-ARSEF_7405.proteins.fa,Ascosphaera_apis_USDA-ARSEF_7405.scaffolds.fa,Ascoapi2,Onygenales
OUT,Ascosphaera apis,ARSEF 7405,Ascosphaera_apis_ARSEF_7405.proteins.fa,Ascosphaera_apis_ARSEF_7405.scaffolds.fa,Ascoapis,Onygenales
OUT,Ascosphaera atra,ARSEF 5147,Ascosphaera_atra_ARSEF_5147.proteins.fa,Ascosphaera_atra_ARSEF_5147.scaffolds.fa,Ascoatra,Onygenales
OUT,Ascosphaera pollenicola,ATCC 62712,Ascosphaera_pollenicola_ATCC_62712.proteins.fa,Ascosphaera_pollenicola_ATCC_62712.scaffolds.fa,Ascopoll,Onygenales
OUT,Aspergillus aculeatinus,IC_8,Aspergillus_aculeatinus_IC_8.proteins.fa,Aspergillus_aculeatinus_IC_8.scaffolds.fa,Aspeacu2,Eurotiales
OUT,Aspergillus aculeatinus,CBS 121060,Aspergillus_aculeatinus_CBS_121060.proteins.fa,Aspergillus_aculeatinus_CBS_121060.scaffolds.fa,Aspeacul,Eurotiales
OUT,Aspergillus aff. floccosus IMV 01167,IMV 01167,Aspergillus_aff._floccosus_IMV_01167_IMV_01167.proteins.fa,Aspergillus_aff._floccosus_IMV_01167_IMV_01167.scaffolds.fa,Aspeaff,Eurotiales
OUT,Aspergillus aflatoxiformans,LH_A394,Aspergillus_aflatoxiformans_LH_A394.proteins.fa,Aspergillus_aflatoxiformans_LH_A394.scaffolds.fa,Aspeafla,Eurotiales
OUT,Aspergillus annui,IBT 36122,Aspergillus_annui_IBT_36122.proteins.fa,Aspergillus_annui_IBT_36122.scaffolds.fa,Aspeannu,Eurotiales
OUT,Aspergillus asperescens,NRRL 4770,Aspergillus_asperescens_NRRL_4770.proteins.fa,Aspergillus_asperescens_NRRL_4770.scaffolds.fa,Aspeasp2,Eurotiales
OUT,Aspergillus aspearensis,CBS 143672,Aspergillus_aspearensis_CBS_143672.proteins.fa,Aspergillus_aspearensis_CBS_143672.scaffolds.fa,Aspeaspe,Eurotiales
OUT,Aspergillus austwickii,LH_A515,Aspergillus_austwickii_LH_A515.proteins.fa,Aspergillus_austwickii_LH_A515.scaffolds.fa,Aspeaust,Eurotiales
OUT,Aspergillus awamori,JCM 22320,Aspergillus_awamori_JCM_22320.proteins.fa,Aspergillus_awamori_JCM_22320.scaffolds.fa,Aspeawa2,Eurotiales
OUT,Aspergillus awamori,IFM 58123,Aspergillus_awamori_IFM_58123.proteins.fa,Aspergillus_awamori_IFM_58123.scaffolds.fa,Aspeawam,Eurotiales
OUT,Aspergillus baeticus,NRRL 62501,Aspergillus_baeticus_NRRL_62501.proteins.fa,Aspergillus_baeticus_NRRL_62501.scaffolds.fa,Aspebaet,Eurotiales
OUT,Aspergillus bombycis,NRRL26010,Aspergillus_bombycis_NRRL26010.proteins.fa,Aspergillus_bombycis_NRRL26010.scaffolds.fa,Aspebom2,Eurotiales
OUT,Aspergillus bombycis,NRRL 26010,Aspergillus_bombycis_NRRL_26010.proteins.fa,Aspergillus_bombycis_NRRL_26010.scaffolds.fa,Aspebomb,Eurotiales
OUT,Aspergillus brasiliensis,CBS 733.88,Aspergillus_brasiliensis_CBS_733.88.proteins.fa,Aspergillus_brasiliensis_CBS_733.88.scaffolds.fa,Aspebra2,Eurotiales
OUT,Aspergillus brasiliensis,IFM 66950,Aspergillus_brasiliensis_IFM_66950.proteins.fa,Aspergillus_brasiliensis_IFM_66950.scaffolds.fa,Aspebra4,Eurotiales
OUT,Aspergillus bridgeri,NRRL 13000,Aspergillus_bridgeri_NRRL_13000.proteins.fa,Aspergillus_bridgeri_NRRL_13000.scaffolds.fa,Aspebrid,Eurotiales
OUT,Aspergillus brunneus,CBS 112.26,Aspergillus_brunneus_CBS_112.26.proteins.fa,Aspergillus_brunneus_CBS_112.26.scaffolds.fa,Aspebrun,Eurotiales
OUT,Aspergillus campestris,LH_A408,Aspergillus_campestris_LH_A408.proteins.fa,Aspergillus_campestris_LH_A408.scaffolds.fa,Aspecam2,Eurotiales
OUT,Aspergillus campestris,IBT 28561,Aspergillus_campestris_IBT_28561.proteins.fa,Aspergillus_campestris_IBT_28561.scaffolds.fa,Aspecamp,Eurotiales
OUT,Aspergillus carbonarius,ITEM 5010,Aspergillus_carbonarius_ITEM_5010.proteins.fa,Aspergillus_carbonarius_ITEM_5010.scaffolds.fa,Aspecarb,Eurotiales
OUT,Aspergillus cejpii,FS110,Aspergillus_cejpii_FS110.proteins.fa,Aspergillus_cejpii_FS110.scaffolds.fa,Aspecejp,Eurotiales
OUT,Aspergillus chevalieri,M1,Aspergillus_chevalieri_M1.proteins.fa,Aspergillus_chevalieri_M1.scaffolds.fa,Aspeche2,Eurotiales
OUT,Aspergillus chevalieri,,Aspergillus_chevalieri.proteins.fa,Aspergillus_chevalieri.scaffolds.fa,Aspechev,Eurotiales
OUT,Aspergillus clavatus,NRRL 1,Aspergillus_clavatus_NRRL_1.proteins.fa,Aspergillus_clavatus_NRRL_1.scaffolds.fa,Aspecla2,Eurotiales
OUT,Aspergillus clavatus,M-2-1,Aspergillus_clavatus_M-2-1.proteins.fa,Aspergillus_clavatus_M-2-1.scaffolds.fa,Aspeclav,Eurotiales
OUT,Aspergillus conjunctus,NRRL 5080,Aspergillus_conjunctus_NRRL_5080.proteins.fa,Aspergillus_conjunctus_NRRL_5080.scaffolds.fa,Aspeconj,Eurotiales
OUT,Aspergillus costaricensis,FKII-L6-BK-DRAB1,Aspergillus_costaricensis_FKII-L6-BK-DRAB1.proteins.fa,Aspergillus_costaricensis_FKII-L6-BK-DRAB1.scaffolds.fa,Aspecos2,Eurotiales
OUT,Aspergillus costaricensis,CBS 115574,Aspergillus_costaricensis_CBS_115574.proteins.fa,Aspergillus_costaricensis_CBS_115574.scaffolds.fa,Aspecost,Eurotiales
OUT,Aspergillus cristatus,S2702,Aspergillus_cristatus_S2702.proteins.fa,Aspergillus_cristatus_S2702.scaffolds.fa,Aspecr10,Eurotiales
OUT,Aspergillus cristatus,YKY807,Aspergillus_cristatus_YKY807.proteins.fa,Aspergillus_cristatus_YKY807.scaffolds.fa,Aspecr11,Eurotiales
OUT,Aspergillus creber,HOSP050413_5_135,Aspergillus_creber_HOSP050413_5_135.proteins.fa,Aspergillus_creber_HOSP050413_5_135.scaffolds.fa,Aspecreb,Eurotiales
OUT,Aspergillus croceus,JS3-P1,Aspergillus_croceus_JS3-P1.proteins.fa,Aspergillus_croceus_JS3-P1.scaffolds.fa,Aspecroc,Eurotiales
OUT,Aspergillus crustosus,CBS 478.65,Aspergillus_crustosus_CBS_478.65.proteins.fa,Aspergillus_crustosus_CBS_478.65.scaffolds.fa,Aspecrus,Eurotiales
OUT,Aspergillus cvjetkovicii,NRRL 227,Aspergillus_cvjetkovicii_NRRL_227.proteins.fa,Aspergillus_cvjetkovicii_NRRL_227.scaffolds.fa,Aspecvje,Eurotiales
OUT,Aspergillus destruens,EXF-7651,Aspergillus_destruens_EXF-7651.proteins.fa,Aspergillus_destruens_EXF-7651.scaffolds.fa,Aspedes2,Eurotiales
OUT,Aspergillus desertorum,CBS 653.73,Aspergillus_desertorum_CBS_653.73.proteins.fa,Aspergillus_desertorum_CBS_653.73.scaffolds.fa,Aspedese,Eurotiales
OUT,Aspergillus destruens,EXF-10360,Aspergillus_destruens_EXF-10360.proteins.fa,Aspergillus_destruens_EXF-10360.scaffolds.fa,Aspedest,Eurotiales
OUT,Aspergillus diversus,NRRL 5074,Aspergillus_diversus_NRRL_5074.proteins.fa,Aspergillus_diversus_NRRL_5074.scaffolds.fa,Aspedive,Eurotiales
OUT,Aspergillus egyptiacus,CBS 656.73,Aspergillus_egyptiacus_CBS_656.73.proteins.fa,Aspergillus_egyptiacus_CBS_656.73.scaffolds.fa,Aspeegyp,Eurotiales
OUT,Aspergillus elegans,IMI 345568,Aspergillus_elegans_IMI_345568.proteins.fa,Aspergillus_elegans_IMI_345568.scaffolds.fa,Aspeeleg,Eurotiales
OUT,Aspergillus ellipticus,CBS 707.79,Aspergillus_ellipticus_CBS_707.79.proteins.fa,Aspergillus_ellipticus_CBS_707.79.scaffolds.fa,Aspeelli,Eurotiales
OUT,Aspergillus eucalypticola,CBS 122712,Aspergillus_eucalypticola_CBS_122712.proteins.fa,Aspergillus_eucalypticola_CBS_122712.scaffolds.fa,Aspeeuca,Eurotiales
OUT,Aspergillus falconensis,CBS 271.91,Aspergillus_falconensis_CBS_271.91.proteins.fa,Aspergillus_falconensis_CBS_271.91.scaffolds.fa,Aspefalc,Eurotiales
OUT,Aspergillus felis,CNM-CM7691,Aspergillus_felis_CNM-CM7691.proteins.fa,Aspergillus_felis_CNM-CM7691.scaffolds.fa,Aspefel2,Eurotiales
OUT,Aspergillus felis,T4_F18,Aspergillus_felis_T4_F18.proteins.fa,Aspergillus_felis_T4_F18.scaffolds.fa,Aspefel4,Eurotiales
OUT,Aspergillus fijiensis,CY4,Aspergillus_fijiensis_CY4.proteins.fa,Aspergillus_fijiensis_CY4.scaffolds.fa,Aspefij2,Eurotiales
OUT,Aspergillus fijiensis,CBS 313.89,Aspergillus_fijiensis_CBS_313.89.proteins.fa,Aspergillus_fijiensis_CBS_313.89.scaffolds.fa,Aspefiji,Eurotiales
OUT,Aspergillus filifer,CBS 114510,Aspergillus_filifer_CBS_114510.proteins.fa,Aspergillus_filifer_CBS_114510.scaffolds.fa,Aspefili,Eurotiales
OUT,Aspergillus fischeri,NRRL4161,Aspergillus_fischeri_NRRL4161.proteins.fa,Aspergillus_fischeri_NRRL4161.scaffolds.fa,Aspefis4,Eurotiales
OUT,Aspergillus fischeri,IBT 3003,Aspergillus_fischeri_IBT_3003.proteins.fa,Aspergillus_fischeri_IBT_3003.scaffolds.fa,Aspefisc,Eurotiales
OUT,Aspergillus flavus,07-S-1-1-7,Aspergillus_flavus_07-S-1-1-7.proteins.fa,Aspergillus_flavus_07-S-1-1-7.scaffolds.fa,Aspefl12,Eurotiales
OUT,Aspergillus flavus,07-S-3-1-8,Aspergillus_flavus_07-S-3-1-8.proteins.fa,Aspergillus_flavus_07-S-3-1-8.scaffolds.fa,Aspefl17,Eurotiales
OUT,Aspergillus foetidus,LH_A311,Aspergillus_foetidus_LH_A311.proteins.fa,Aspergillus_foetidus_LH_A311.scaffolds.fa,Aspefoet,Eurotiales
