GROUP,Species,Strain,Protein,DNA,Short,TaxonGroup
IN,Anthracina ramosa,CGMCC 3.16372,Anthracina_ramosa_CGMCC_3.16372.proteins.fa,Anthracina_ramosa_CGMCC_3.16372.scaffolds.fa,Anthramo,Chaetothyriales
IN,Arthrocladium fulminans,CBS 136243,Arthrocladium_fulminans_CBS_136243.proteins.fa,Arthrocladium_fulminans_CBS_136243.scaffolds.fa,Arthfulm,Chaetothyriales
IN,Bradymyces pullus,CGMCC 3.17288,Bradymyces_pullus_CGMCC_3.17288.proteins.fa,Bradymyces_pullus_CGMCC_3.17288.scaffolds.fa,Bradpull,Chaetothyriales
IN,Camptophora hylomeconis,CBS 113311,Camptophora_hylomeconis_CBS_113311.proteins.fa,Camptophora_hylomeconis_CBS_113311.scaffolds.fa,Camphylo,Chaetothyriales
IN,Capronia coronata,CBS 617.96,Capronia_coronata_CBS_617.96.proteins.fa,Capronia_coronata_CBS_617.96.scaffolds.fa,Caprcoro,Chaetothyriales
IN,Capronia epimyces,CBS 606.96,Capronia_epimyces_CBS_606.96.proteins.fa,Capronia_epimyces_CBS_606.96.scaffolds.fa,Caprepim,Chaetothyriales
IN,Chaetothyriales sp. BF4,BF4,Chaetothyriales_sp._BF4_BF4.proteins.fa,Chaetothyriales_sp._BF4_BF4.scaffolds.fa,Chaesp,Chaetothyriales
IN,Chaetothyriales sp. CBS 132003,CBS 132003,Chaetothyriales_sp._CBS_132003_CBS_132003.proteins.fa,Chaetothyriales_sp._CBS_132003_CBS_132003.scaffolds.fa,Chaesp2,Chaetothyriales
IN,Chaetothyriales sp. CBS 134916,CBS 134916,Chaetothyriales_sp._CBS_134916_CBS_134916.proteins.fa,Chaetothyriales_sp._CBS_134916_CBS_134916.scaffolds.fa,Chaesp3,Chaetothyriales
IN,Chaetothyriales sp. CBS 134920,CBS 134920,Chaetothyriales_sp._CBS_134920_CBS_134920.proteins.fa,Chaetothyriales_sp._CBS_134920_CBS_134920.scaffolds.fa,Chaesp4,Chaetothyriales
IN,Chaetothyriales sp. CBS 135597,CBS 135597,Chaetothyriales_sp._CBS_135597_CBS_135597.proteins.fa,Chaetothyriales_sp._CBS_135597_CBS_135597.scaffolds.fa,Chaesp5,Chaetothyriales
IN,Cladophialophora bantiana,CBS 173.52,Cladophialophora_bantiana_CBS_173.52.proteins.fa,Cladophialophora_bantiana_CBS_173.52.scaffolds.fa,Cladban2,Chaetothyriales
IN,Cladophialophora bantiana,BMU 10859,Cladophialophora_bantiana_BMU_10859.proteins.fa,Cladophialophora_bantiana_BMU_10859.scaffolds.fa,Cladbant,Chaetothyriales
