Batrachochytrium dendrobatidis	Batrdend
Spizellomyces punctatus	Spizpunc
Drosophila melanogaster	Drosmela
Caenorhabditis elegans	Caeneleg
Mus musculus	Musmusc
Monosiga brevicollis	Monobrev
Saccharomyces cerevisiae	Sacccere
Neurospora crassa	Neurcras
Aspergillus nidulans	Aspenidu
Schizosaccharomyces pombe	Schipomb
Coprinopsis cinerea	Coprcine
